,0,1
0,go,geh
1,hi,hallo
2,hi,grüß gott
3,run,lauf
4,run,lauf
5,wow,potzdonner
6,wow,donnerwetter
7,duck,kopf runter
8,fire,feuer
9,help,hilfe
10,help,zu hülf
11,stay,bleib
12,stop,stopp
13,stop,anhalten
14,wait,warte
15,wait,warte
16,begin,fang an
17,do it,mache es
18,do it,tue es
19,go on,mach weiter
20,hello,hallo
21,hello,sers
22,hurry,beeil dich
23,hurry,schnell
24,i hid,ich versteckte mich
25,i hid,ich habe mich versteckt
26,i ran,ich rannte
27,i see,ich verstehe
28,i see,aha
29,i try,ich versuche es
30,i try,ich probiere es
31,i won,ich hab gewonnen
32,i won,ich habe gewonnen
33,i won,ich habe gewonnen
34,oh no,oh nein
35,relax,entspann dich
36,shoot,feuer
37,shoot,schieß
38,smile,lächeln
39,sorry,entschuldigung
40,ask me,frag mich
41,ask me,fragt mich
42,ask me,fragen sie mich
43,attack,angriff
44,attack,attacke
45,buy it,kauf’s
46,cheers,zum wohl
47,eat it,iss es
48,eat up,iss fertig
49,eat up,iss auf
50,eat up,iss auf
51,freeze,keine bewegung
52,freeze,stehenbleiben
53,go now,geh jetzt
54,got it,verstanden
55,got it,ich hab’s
56,got it,aha
57,got it,kapiert
58,got it,verstanden
59,got it,einverstanden
60,he ran,er rannte
61,he ran,er lief
62,hop in,mach mit
63,hop in,spring rein
64,hug me,drück mich
65,hug me,nimm mich in den arm
66,hug me,umarme mich
67,i care,mir ist es wichtig
68,i fell,ich fiel
69,i fell,ich fiel hin
70,i fell,ich stürzte
71,i fell,ich bin hingefallen
72,i fell,ich bin gestürzt
73,i fled,ich flüchtete
74,i fled,ich bin geflüchtet
75,i know,ich weiß
76,i lied,ich habe gelogen
77,i lost,ich habe verloren
78,i paid,ich habe bezahlt
79,i paid,ich zahlte
80,i sang,ich sang
81,i spit,ich spuckte
82,i spit,ich habe gespuckt
83,i swim,ich schwimme
84,i wept,ich weinte
85,i wept,ich habe geweint
86,im 19,ich bin 19 jahre alt
87,im 19,ich bin 19
88,im ok,mir gehts gut
89,im ok,es geht mir gut
90,im up,ich bin wach
91,im up,ich bin auf
92,listen,hört zu
93,no way,unmöglich
94,no way,das kommt nicht in frage
95,no way,das gibt’s doch nicht
96,no way,ausgeschlossen
97,no way,in keinster weise
98,really,wirklich
99,really,echt
100,really,im ernst
101,thanks,danke
102,thanks,danke
103,try it,versuch’s
104,we try,wir versuchen es
105,we won,wir haben gewonnen
106,why me,warum ich
107,ask tom,frag tom
108,ask tom,fragen sie tom
109,ask tom,fragt tom
110,awesome,fantastisch
111,be cool,entspann dich
112,be fair,sei nicht ungerecht
113,be fair,sei fair
114,be kind,sei nett
115,be nice,sei nett
116,be nice,seien sie nett
117,beat it,geh weg
118,beat it,hau ab
119,beat it,verschwinde
120,beat it,verdufte
121,beat it,mach dich fort
122,beat it,zieh leine
123,beat it,mach dich vom acker
124,beat it,verzieh dich
125,beat it,verkrümele dich
126,beat it,troll dich
127,beat it,zisch ab
128,beat it,pack dich
